,ARSUSD,COPUSD,CLPUSD,Net trade in goods (value)_Colombia,Net trade in goods (value)_Chile,Net trade in goods (value)_United States,Net trade in goods (value)_Argentina,Exports in goods (value)_Colombia,Exports in goods (value)_Chile,Exports in goods (value)_United States,Exports in goods (value)_Argentina,Imports in goods (value)_Colombia,Imports in goods (value)_Chile,Imports in goods (value)_United States,Imports in goods (value)_Argentina,Insured Unemployment Rate,Chicago Fed National Financial Conditions Index,Federal Funds Effective Rate,Equity Market-related Economic Uncertainty Index,Economic Policy Uncertainty Index for United States,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Consumer Price Index: All items: Total: Total for Argentina,U.S. Exports of Goods by F.A.S. Basis to Argentina,U.S. Imports of Goods by Customs Basis from Argentina,Consumer Price Index: All Items: Total: Total for Chile,Unemployment Rate: Aged 15 and over: All Persons for Chile,U.S. Exports of Goods by F.A.S. Basis to Chile,U.S. Imports of Goods by Customs Basis from Chile,Consumer Price Index: All items: Total: Total for Colombia,Unemployment Rate: Aged 15 and over: All Persons for Colombia,U.S. Exports of Goods by F.A.S. Basis to Colombia,GDP_United States,GDP_Argentina,GDP_Chile,GDP_Colombia,Interest Rate_Columbia,Interest Rate_Chile,Interest Rate_Argentina,SP500,VIX,Merval,BBG_Comm_Index,BBG_Agriculture_Index,BBG_Aluminum_Index,BBG_Soybeans_Index,BBG_SoybeansOil_Index,BBG_Copper_Index,BBG_Coffee_Index,BBG_Cocoa_Index,Crude Oil Commodity,Brent Crude Commodity,US GBond 1M,US GBond 6M,US GBond 1Y,US GBond 2Y,US GBond 5Y,US GBond 10Y,US GBond 30Y,Chile GBond 10Y,S&P CLX IPSA
2014-12-31,0.118188,0.000421,0.001652,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,,,0.06,101.77000,127.20000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,,,2058.899902,19.200001,8579.0,104.3285,62.8176,32.9699,233.08,43.9493,288.78,21.0494,68.4912,53.27,57.33,0.025,0.122,0.216,0.676,1.656,0.676,2.749,4.3,3850.96
2015-01-01,0.118188,0.000426,0.001652,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,,,0.06,54.58000,137.22000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,,,2058.899902,19.200001,8579.0,104.3285,62.8176,32.9699,233.08,43.9493,288.78,21.0494,68.4912,53.27,57.33,0.0279,0.1236,0.2188,0.676,1.6528,0.676,2.749,4.3,3850.96
2015-01-02,0.118128,0.000421,0.001652,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,,-0.56745,0.12,20.38000,93.14000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2058.199951,17.790001,8666.5,103.8614,61.8948,32.5999,229.43,43.8809,287.96,20.3482,68.8915,52.69,56.42,0.01,0.109,0.223,0.669,1.618,0.669,2.695,4.31,3851.23
2015-01-03,0.118128,0.000421,0.001652,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.56745,0.12,65.17000,79.59000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2058.199951,17.790001,8666.5,103.8614,61.8948,32.5999,229.43,43.8809,287.96,20.3482,68.8915,52.69,56.42,0.01,0.109,0.223,0.669,1.618,0.669,2.695,4.31,3851.23
2015-01-04,0.118128,0.000421,0.001652,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.56745,0.12,64.23000,163.12000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2058.199951,17.790001,8666.5,103.8614,61.8948,32.5999,229.43,43.8809,287.96,20.3482,68.8915,52.69,56.42,0.0152,0.1065,0.2213,0.669,1.5988,0.669,2.678,4.31,3851.23
2015-01-05,0.116375,0.000412,0.00163,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.56745,0.12,12.53000,90.66000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2020.579956,19.92,8123.700195,103.873,63.5068,32.319,238.03,44.9475,282.7,21.2389,69.2918,50.04,53.11,0.013,0.081,0.218,0.665,1.568,0.665,2.605,4.36,3797.99
2015-01-06,0.11698,0.000408,0.00162,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.56745,0.12,9.34000,85.46000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2002.609985,21.120001,8057.899902,104.0825,64.2595,31.7483,240.42,44.9475,282.8,22.0981,68.3033,47.93,51.1,0.02,0.096,0.208,0.633,1.493,0.633,2.523,4.3,3776.64
2015-01-07,0.117054,0.000412,0.001623,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.56745,0.12,14.97000,57.14000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2025.900024,19.309999,8246.200195,103.5252,63.7387,31.8063,240.53,45.344,281.93,22.1171,68.5388,48.65,51.15,0.015,0.091,0.249,0.617,1.473,0.617,2.514,4.29,3776.65
2015-01-08,0.116702,0.000419,0.001629,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.56745,0.12,26.03000,59.56000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2062.139893,17.01,8395.099609,103.6365,63.5233,32.5553,238.71,46.1645,283.05,22.3508,70.2805,48.79,50.96,0.013,0.079,0.239,0.613,1.496,0.613,2.593,4.28,3785.57
2015-01-09,0.116492,0.000414,0.001633,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.54956,0.12,7.76000,44.45000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2044.810059,17.549999,8459.700195,103.6223,63.8868,32.1763,239.62,46.0551,281.52,22.7488,69.8569,48.36,50.11,0.018,0.076,0.203,0.577,1.442,0.577,2.555,4.29,3783.06
