,GDP_United States 270-step difference,yield_spread_30Y_6M 30-step return,GDP_QoQ_diff_Chile_US 90-step difference,Imports in goods (value)_United States 30-step difference,yield_spread_Chile_US_10Y 30-step difference,BBG_Soybeans_Index 90-step return,BBG_Cocoa_Index 60-step difference,import_export_total_Chile 30-step difference,Consumer Price Index: All Items: Total: Total for Chile 30-step difference,BBG_Copper_Index 60-step difference,CLPUSD_wins
2014-12-31,,,,,,,,,,,0.001652
2015-01-01,,,,,,,,,,,0.001652
2015-01-02,,,,,,,,,,,0.001652
2015-01-03,,,,,,,,,,,0.001652
2015-01-04,,,,,,,,,,,0.001652
2015-01-05,,,,,,,,,,,0.0016355
2015-01-06,,,,,,,,,,,0.0016229999999999
2015-01-07,,,,,,,,,,,0.001623
2015-01-08,,,,,,,,,,,0.001629
2015-01-09,,,,,,,,,,,0.001633
2015-01-10,,,,,,,,,,,0.001633
2015-01-11,,,,,,,,,,,0.001633
2015-01-12,,,,,,,,,,,0.001628
2015-01-13,,,,,,,,,,,0.001624
2015-01-14,,,,,,,,,,,0.0016175999999999
2015-01-15,,,,,,,,,,,0.001609
2015-01-16,,,,,,,,,,,0.0015998
2015-01-17,,,,,,,,,,,0.001599
2015-01-18,,,,,,,,,,,0.001599
2015-01-19,,,,,,,,,,,0.0015988
2015-01-20,,,,,,,,,,,0.001595
2015-01-21,,,,,,,,,,,0.0015931
2015-01-22,,,,,,,,,,,0.001593
2015-01-23,,,,,,,,,,,0.001602
2015-01-24,,,,,,,,,,,0.001602
2015-01-25,,,,,,,,,,,0.001602
2015-01-26,,,,,,,,,,,0.001598
2015-01-27,,,,,,,,,,,0.001605
2015-01-28,,,,,,,,,,,0.001607
2015-01-29,,,,,,,,,,,0.001608
2015-01-30,,-0.1598781880472021,,0.0,-0.053999999999999826,,,0.0,0.0,,0.001594
2015-01-31,,-0.15936619181838962,,-6.949000000000012,-0.053999999999999826,,,-0.8889390000000006,0.06537312619740021,,0.001594
2015-02-01,,-0.15688321732405253,,-6.949000000000012,-0.03699999999999992,,,-0.8889390000000006,0.06537312619740021,,0.001594
2015-02-02,,-0.1442382057231244,,-6.949000000000012,-0.03100000000000014,,,-0.8889390000000006,0.06537312619740021,,0.00159265
2015-02-03,,-0.10402488819755007,,-6.949000000000012,0.015000000000000124,,,-0.8889390000000006,0.06537312619740021,,0.0015908
2015-02-04,,-0.07844690966719492,,-6.949000000000012,0.05699999999999994,,,-0.8889390000000006,0.06537312619740021,,0.0016
2015-02-05,,-0.027194066749072876,,-6.949000000000012,-0.013000000000000345,,,-0.8889390000000006,0.06537312619740021,,0.001596
2015-02-06,,0.0024762690879074345,,-6.949000000000012,0.052999999999999936,,,-0.8889390000000006,0.06537312619740021,,0.001604
2015-02-07,,-0.03381066030230706,,-6.949000000000012,0.04699999999999971,,,-0.8889390000000006,0.06537312619740021,,0.001604
2015-02-08,,-0.0223073820088745,,-6.949000000000012,0.09299999999999997,,,-0.8889390000000006,0.06537312619740021,,0.001604
2015-02-09,,-0.013311819281968451,,-6.949000000000012,0.08700000000000019,,,-0.8889390000000006,0.06537312619740021,,0.001595
2015-02-10,,0.01714239179119681,,-6.949000000000012,0.1030000000000002,,,-0.8889390000000006,0.06537312619740021,,0.001603
2015-02-11,,0.034010783907092446,,-6.949000000000012,0.11299999999999999,,,-0.8889390000000006,0.06537312619740021,,0.001599
2015-02-12,,0.045093945720250606,,-6.949000000000012,0.09900000000000064,,,-0.8889390000000006,0.06537312619740021,,0.0015894499999999
2015-02-13,,0.08111533586818775,,-6.949000000000012,0.11799999999999944,,,-0.8889390000000006,0.06537312619740021,,0.001607
2015-02-14,,0.0935897435897437,,-6.949000000000012,0.16699999999999937,,,-0.8889390000000006,0.06537312619740021,,0.001607
2015-02-15,,0.08157227387996624,,-6.949000000000012,0.13099999999999978,,,-0.8889390000000006,0.06537312619740021,,0.001607
2015-02-16,,0.08753169907016067,,-6.949000000000012,0.16100000000000003,,,-0.8889390000000006,0.06537312619740021,,0.001618
2015-02-17,,0.12975486052409124,,-6.949000000000012,0.2140000000000004,,,-0.8889390000000006,0.06537312619740021,,0.00161
2015-02-18,,0.11549893842887471,,-6.949000000000012,0.11499999999999977,,,-0.8889390000000006,0.06537312619740021,,0.001615
2015-02-19,,0.14041095890410982,,-6.949000000000012,0.08399999999999963,,,-0.8889390000000006,0.06537312619740021,,0.001615
2015-02-20,,0.13039796782387825,,-6.949000000000012,0.10299999999999976,,,-0.8889390000000006,0.06537312619740021,,0.001617
2015-02-21,,0.11528822055137855,,-6.949000000000012,0.07299999999999951,,,-0.8889390000000006,0.06537312619740021,,0.001617
2015-02-22,,0.1432385874246338,,-6.949000000000012,0.07699999999999951,,,-0.8889390000000006,0.06537312619740021,,0.001617
2015-02-23,,0.11455641688199836,,-6.949000000000012,0.04099999999999948,,,-0.8889390000000006,0.06537312619740021,,0.001625
2015-02-24,,0.10672802980495288,,-6.949000000000012,-0.008000000000000007,,,-0.8889390000000006,0.06537312619740021,,0.001608
2015-02-25,,0.07207207207207222,,-6.949000000000012,0.03699999999999948,,,-0.8889390000000006,0.06537312619740021,,0.001617
2015-02-26,,0.09228115567054762,,-6.949000000000012,0.09000000000000075,,,-0.8889390000000006,0.06537312619740021,,0.00162
2015-02-27,,0.1373255290409725,,-6.949000000000012,0.1080000000000001,,,-0.8889390000000006,0.06537312619740021,,0.001617
2015-02-28,,0.12117177097203724,,-13.766999999999996,0.0860000000000003,,,-1.3965219999999992,0.4140297992500024,,0.001617
2015-03-01,,0.1456728590847305,,-13.766999999999996,0.12400000000000011,,2.592199999999991,-1.3965219999999992,0.4140297992500024,-13.67999999999995,0.001617
2015-03-02,,0.18305391934753068,,-6.817999999999984,0.1299999999999999,,2.3566000000000003,-0.5075829999999986,0.3486566730526022,-13.059999999999945,0.001622
2015-03-03,,0.2071733247718206,,-6.817999999999984,0.10999999999999988,,2.3334000000000117,-0.5075829999999986,0.3486566730526022,-16.430000000000007,0.001622
2015-03-04,,0.1929507455942161,,-6.817999999999984,0.05900000000000016,,1.9799000000000007,-0.5075829999999986,0.3486566730526022,-16.129999999999995,0.001621
2015-03-05,,0.14366319444444442,,-6.817999999999984,0.018999999999999684,,1.720700000000008,-0.5075829999999986,0.3486566730526022,-16.839999999999975,0.001618
2015-03-06,,0.17798796216681012,,-6.817999999999984,0.0009999999999990017,,0.11840000000000828,-0.5075829999999986,0.3486566730526022,-16.029999999999973,0.00161
2015-03-07,,0.16052520118593816,,-6.817999999999984,0.04299999999999926,,1.1069000000000102,-0.5075829999999986,0.3486566730526022,-16.129999999999995,0.00161
2015-03-08,,0.13104158089748874,,-6.817999999999984,-0.017000000000000792,,0.8714000000000084,-0.5075829999999986,0.3486566730526022,-15.259999999999991,0.00161
2015-03-09,,0.1144503911074517,,-6.817999999999984,-0.020000000000000018,,-1.129400000000004,-0.5075829999999986,0.3486566730526022,-10.090000000000032,0.001595
2015-03-10,,0.08057927961381361,,-6.817999999999984,0.0040000000000000036,,-1.200800000000001,-0.5075829999999986,0.3486566730526022,-13.319999999999993,0.001593
2015-03-11,,0.055192150449713706,,-6.817999999999984,-0.016000000000000014,,-2.567700000000002,-0.5075829999999986,0.3486566730526022,-15.159999999999968,0.0015905
2015-03-12,,0.03122497998398721,,-6.817999999999984,-0.02400000000000002,,-2.9684000000000026,-0.5075829999999986,0.3486566730526022,-9.789999999999964,0.00158855
2015-03-13,,0.03690332932210194,,-6.817999999999984,-0.06300000000000017,,-4.051900000000003,-0.5075829999999986,0.3486566730526022,-6.319999999999993,0.0015844
2015-03-14,,0.03276068717538938,,-6.817999999999984,-0.05899999999999972,,-3.9813000000000045,-0.5075829999999986,0.3486566730526022,2.009999999999991,0.001579
2015-03-15,,0.008440797186400895,,-6.817999999999984,-0.06799999999999962,,-4.004900000000006,-0.5075829999999986,0.3486566730526022,16.170000000000016,0.001579
2015-03-16,,-0.009769441187963968,,-6.817999999999984,-0.09799999999999942,,-4.288200000000003,-0.5075829999999986,0.3486566730526022,11.20999999999998,0.00157875
2015-03-17,,-0.039468542399374695,,-6.817999999999984,-0.09099999999999975,,-3.5349999999999966,-0.5075829999999986,0.3486566730526022,1.6499999999999773,0.0015776
2015-03-18,,-0.059500213749951514,,-6.817999999999984,-0.2559999999999998,,-4.242000000000004,-0.5075829999999986,0.3486566730526022,-4.730000000000018,0.0015749499999999
2015-03-19,,-0.09614665170220726,,-6.817999999999984,-0.24700000000000033,,-5.255400000000002,-0.5075829999999986,0.3486566730526022,4.409999999999968,0.001572
2015-03-20,,-0.08641035401598773,,-6.817999999999984,-0.20999999999999952,,-3.487700000000004,-0.5075829999999986,0.3486566730526022,14.739999999999952,0.00156875
2015-03-21,,-0.0990990990990992,,-6.817999999999984,-0.21599999999999975,,-3.0878000000000014,-0.5075829999999986,0.3486566730526022,17.089999999999975,0.001564
2015-03-22,,-0.10089887640449458,,-6.817999999999984,-0.24099999999999966,,-1.3697000000000088,-0.5075829999999986,0.3486566730526022,15.199999999999989,0.0015630499999999
2015-03-23,,-0.09550561797752821,,-6.817999999999984,-0.22499999999999964,,-0.9468000000000103,-0.5075829999999986,0.3486566730526022,21.590000000000032,0.001584
2015-03-24,,-0.11399080840804643,,-6.817999999999984,-0.2609999999999997,,0.7485999999999962,-0.5075829999999986,0.3486566730526022,30.840000000000003,0.001603
2015-03-25,,-0.07882534775888728,,-6.817999999999984,-0.1779999999999995,,0.8192999999999984,-0.5075829999999986,0.3486566730526022,29.72,0.001608
2015-03-26,,-0.023762376237623783,,-6.817999999999984,-0.13900000000000112,,0.20659999999999457,-0.5075829999999986,0.3486566730526022,31.659999999999997,0.001611
2015-03-27,,-0.03761504601840748,,-6.817999999999984,-0.22699999999999987,,0.25310000000000343,-0.5075829999999986,0.3486566730526022,22.95999999999998,0.001606
2015-03-28,,-0.05053296486379788,,-6.817999999999984,-0.2669999999999999,,0.11180000000000234,-0.5075829999999986,0.3486566730526022,31.189999999999998,0.001606
2015-03-29,,-0.04536817102137758,,-6.817999999999984,-0.26300000000000034,,0.7708000000000013,-0.5075829999999986,0.3486566730526022,29.450000000000017,0.001606
2015-03-30,,-0.03879651623119551,,0.0,-0.30500000000000016,,0.2984999999999971,0.0,0.0,33.75,0.001606
2015-03-31,,-0.048447696262606255,,13.258999999999986,-0.32699999999999996,-0.05380126995023171,0.22820000000000107,0.29208500000000015,0.6101491778420893,25.110000000000014,0.001596
2015-04-01,,-0.0919188050555344,,13.258999999999986,-0.3729999999999998,-0.03779818088210063,1.3830999999999989,0.29208500000000015,0.6101491778420893,25.980000000000018,0.001603
2015-04-02,,-0.07864741641337392,,13.258999999999986,-0.3879999999999999,-0.026195353702654467,1.854600000000005,0.29208500000000015,0.6101491778420893,24.5,0.001621
2015-04-03,,-0.08840909090909088,,13.258999999999986,-0.40290000000000026,-0.026195353702654467,2.348700000000001,0.29208500000000015,0.6101491778420893,24.95999999999998,0.001625
2015-04-04,,-0.08667931688804542,,13.258999999999986,-0.40890000000000004,-0.026195353702654467,1.9015000000000057,0.29208500000000015,0.6101491778420893,15.610000000000014,0.001625
2015-04-05,,-0.12872262773722631,,13.258999999999986,-0.37889999999999935,-0.061378817796076235,1.1247000000000043,0.29208500000000015,0.6101491778420893,14.639999999999986,0.001625
2015-04-06,,-0.09416058394160587,,13.258999999999986,-0.3829999999999987,-0.07773895682555532,1.431900000000013,0.29208500000000015,0.6101491778420893,12.489999999999952,0.001625
2015-04-07,,-0.11622320096094352,,13.258999999999986,-0.36899999999999933,-0.08522845383112299,0.32519999999999527,0.29208500000000015,0.6101491778420893,18.160000000000025,0.001635
2015-04-08,,-0.10676025120059096,,13.258999999999986,-0.29800000000000004,-0.07779313811738098,0.8438000000000017,0.29208500000000015,0.6101491778420893,14.939999999999998,0.001641
